batch_id,preparers,honey_lot,mix_date,mix_time,target_sodium,actual_sodium,sodium_add_date,sodium_add_time,notes
1A,SCH,B,6/23/2026,1:12:00 PM,306.81,306.66,6/24/2026,11:48:00 AM,
1B,SCH,B,6/23/2026,1:12:00 PM,306.81,306.77,6/24/2026,3:14:00 PM,
2A,SCH,B,6/24/2026,8:48:00 AM,306.81,306.82,6/25/2026,11:33:00 AM,
2B,SCH,B,6/24/2026,8:48:00 AM,306.81,306.85,6/25/2026,2:44:00 PM,Not used
3A,SCH,C,6/29/2026,11:30:00 AM,306.81,306.82,6/30/2026,11:15:00 AM,
3B,SCH,C,6/29/2026,11:30:00 AM,306.81,306.86,6/30/2026,3:12:00 PM,
4A,SCH,C,6/30/2026,8:37:00 AM,306.81,306.82,7/1/2026,1:47:00 PM,
4B,SCH,C,6/30/2026,8:37:00 AM,306.81,306.87,7/2/2026,11:26:00 AM,
4C,SCH,C,6/30/2026,8:37:00 AM,306.81,306.82,7/2/2026,3:00:00 PM,
5A,SCH,D,7/2/2026,11:37:00 AM,306.81,302.8,7/3/2026,10:35:00 AM,
5B,SCH,D,7/2/2026,11:37:00 AM,306.81,306.83,7/3/2026,2:00:00 PM,
